I, [2017-03-21T22:32:58.870695 #6936]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.2)
E, [2017-03-21T22:32:58.876700 #6936] ERROR -- Kitchen: ------Exception-------
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/Adam/dev/source/js-starterkit/.kitchen.yml does not exist.
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: ------Backtrace-------
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:145:in `data'
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:124:in `suites'
E, [2017-03-21T22:32:58.877701 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:175:in `filter_instances'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:134:in `build_instances'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:110:in `instances'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:37:in `call'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:56:in `perform'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-03-21T22:32:58.878703 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `<top (required)>'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:17:in `load'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:17:in `<main>'
E, [2017-03-21T22:32:58.879704 #6936] ERROR -- Kitchen: ----------------------
